ISBN,PRODUTO,AUTOR,PREÇO,PREÇO USP
8586480363,A AGENDA SOCIAL DAS RELACOES INTERNACIONAIS,MATILDE DE SOUZA(ORG.),"30,00",15
9788574752228,A EDUCACAO NACIONAL,JOSE VERISSIMO,"37,90","18,95"
9788582290767,"A EXPANSAO ECONOMICA E GEOPOLITICA DACHINA NO SEC",JAVIER VADELL (ORG.),"40,00",20
9788582290446,"A HISTORIA EM TODOS OS SEUS SENTIDOS:DEMOGRAFIA H","ANA SCOTT, CARLOS BACELLAR,RENATO FRANCO E RENATO","50,00",25
9788582290705,A IMPORTANCIA DAS COISAS QUE NAO EXISTEM,FLAVIA AFFONSO MAYER,"40,00",20
8586480053,"A INCLUSAO PELO CUIDADO: MANUAL TEORICO-PRATICO PA",LUZIMAR RANGEL MOREIRA,"18,00",9
9788582290576,"A MUSICA MILITAR NA GUERRA DA TRIPLICEALIANCA: NO",VINICIUS MARIANO DE CARVALHO,"50,00",25
9788560778034,A RUA DA AMARGURA,EDUARDO GARRIDO,"17,50","8,75"
9788582290927,"A TRAJETORIA DA ATENCAO PRIMARIA A SAUDE NOBRASIL","MURILO FAHEL  E MARIA PATRICIASILVA","30,00",15
8586480347,ACAYACA 1729 POR JOAQUIM FELICIO DOS SANTOS,"VALERIA SEABRA DE MIRANDA EOSCAR VIEIRA DA SILVA","25,00","12,5"
9788560778966,AFRICA: DINAMICAS CULTURAIS E LITERARIAS,"MARIA NAZARETH FONSECA E MARIAZILDA CURY (ORG.)","48,00",24
9788582291078,AGOSTINHO E O MARAVILHOSO SENTIDO DA VIDA,JACQUELINE CREPALDI SOUZA,"35,00","17,5"
9788582290910,"ANALISE EXERGETICA E TERMOECONOMIAAPLICADAS A PRO","ANGELA MENIN T DE SOUZA, LIZNUNES SOARES, LEONARD","50,00",25
8586480509,"AS CIDADES E SEUS AGENTES: PRATICAS EREPRESENTACO","HEITOR FRUGOLI JR. LUCIANATEIXEIRA DE ANDRADE, FE","48,00",24
9788586480102,AS VEREDAS DE JOAO NA BARCA DE PEDRO,"ALBERTO ANTONIAZZI, LUCILIA DEALMEIDA NEVES, MAUR","20,00",10
8575260715,AS VISOES DO TEMPO - COL. CONVITE AO PENSAR,"ADRIANA ROMEIRO, PE. ALBERTOANTONIAZZI, HILARIO F","17,00","8,5"
9788582290453,"CANTIGAS AUTOBIOGRAFICAS DE AFONSO X, OSABIO",ANGELA VAZ LEAO (ORG.),"40,00",20
9788582290651,CATOLICISMO E GOLPE DE 1964,WELLINGTON TEODORO DA SILVA,"40,00",20
9788582290057,CHUVAS EM MINAS GERAIS,"RUIBRAN JANUARIO DOS REIS, DANIELPEREIRA GUIMARAE","20,00",10
9788560778539,CONVITE A INTIMIDADE,JOHANNES POELMAN,"30,00",15
8586480525,"CORPUS RASURADO: EXCLUSAO E RESISTENCIA NANARRATI",IVETE WALTY,"27,00","13,5"
9788560778706,CRACK - UM DESAFIO SOCIAL,"LUIS FLAVIO SAPORI E REGINAMEDEIROS (ORG.)","35,00","17,5"
9788560778546,"CULTURA CLASSICA, GREGA E LATINA",JOHNNY JOSE MAFRA,"38,00",19
8586480401,"CULTURA E COMUNICACAO NAS AVENIDAS DECONTORNO EM",JOSE MARCIO BARROS,"30,00",15
