ISBN,PRODUTO,AUTOR,PREÇO,PREÇO USP
9786587707037,BONEQUINHA DE OXUM,"CARECA, ALEXANDRE","34,90","17,45"
9786580967001,"CABOCLO TUPINAMBA: E ASERPENTE",VINICIUS GALHARDO,"34,90","17,45"
9786580645039,CIPRIANO NEM BRUXO NEM SANTO,LUCONI,"29,90","14,95"
9786580506088,CULTOS AFRO-PARAIBANOS,VALDIR LIMA,"49,90","24,95"
"","ESPIRITISMO, A MAGIA E AS SETELINHAS DE UMBANDA,O",LEAL DE SOUZA,"59,90","29,95"
9786580645091,EXU TE AMA,"PACIELLO, ADRIANO","39,90","19,95"
9786587426105,FARIA TUDO OUTRA VEZ,"MARCAL, MAE MARCIA","44,90","22,45"
9786580967063,"FLORES DE OBALUAVELHO:POEMAS ANCESTRAIS DE HOJE","JUNIOR, ADEMIR BARBOSA","44,90","22,45"
9786580967018,JULIA NO JARDIM DOS ORIXAS,"CARVALHO, THIAGO PUGLIESI","34,90","17,45"
9786580645008,"LUCIFER A ESTRADA DAEVOLUCAO","CARVALHO, THIAGO PUGLISE","29,90","14,95"
9786580506057,"NOVO MANUAL DO MEDIUM DEUMBANDA",DIAMANTINO FERNANDES TRINDADE,"49,90","24,95"
9786580506002,"O ESPIRITISMO, A MAGIA DAS SETELINHAS DE UMBANDA",LEAL DE SOUZA,"59,90","29,95"
9786580645053,ORACOES UMBANDISTAS,PAULO LUDOGERO,"49,90","24,95"
9786587708058,"ORIXAS NO TERREIRO SAGRADODO SAMBA","ALEXANDRE, CLAUDIA","39,90","19,95"
9786580645046,PEREGRINAS DE  APARECIDA,ADEMIR BARBOSA JUNIOR,"29,90","14,95"
9786587708034,"REFLEXOES NOTURNAS: O LADOOCULTO DE EXU",EDUARDO LIMA,"39,90","19,95"
9786587708065,"SALVE O MATRIARCADO: MANUALDA MULHER BUFALA","PINTO, MAE FLAVIA","39,90","19,95"
9786587426006,SOB O CEU DE ARUANDA,FILIPI BRASIL,"39,90","19,95"
9786587426112,SOB O CEU DE ARUANDA (6112),FILIPI BRASIL,"39,90","19,95"
9786580506026,UMBANDA EM CASA,"ANGELI, BETO (AUTOR)","39,90","19,95"
9786580645084,VENTANIA PARA OYA,"CORECA, ALEXANDRE","34,90","17,45"
