TÍTULO,AUTOR (A),"PREÇOCAPA","PREÇO COMDESCONTO"
Acertar as contas: como melhorar a pesquisa e a teoria social,Stanley Lieberson,"60,00","R$ 30,00"
Aids no feminino: por que a cada dia mais mulheres contraem Aids no Brasil?,Carmen Dora Guimarães,"25,00","R$ 12,50"
"Além das fronteiras: literatura, ensino e interdisciplinaridade","Armando Gens | Georgina Martins | Rosa Gens |Ana Crelia Dias","40,00","R$ 20,00"
Amor à verdade: o pensamento de Freud e a modernidade.,Luiz Paulo Leitão Martins,"45,00","R$ 22,50"
Anfíbios do Município do Rio de Janeiro,"Sergio Potsch de Carvalho-e-Silva | EugenioIzecksohn","35,00","R$ 17,50"
"Ano miraculoso de Einstein: cinco artigos que mudaram a face da física, O",Albert Einstein,"40,00","R$ 20,00"
"Antes do fim do mundo: milenarismos e messianismos no Brasil e naArgentina",Leonarda Musumeci,"30,00","R$ 15,00"
Antinomias do real,Otávio Velho,"60,00","R$ 30,00"
Aristóteles: uma introdução,Suzana de Castro,"25,00","R$ 12,50"
"Arquipélago da segurança, O: estados de segurança humana, políticas desexualidade e o fim do neoliberalismo, O.",Paul Amar,"70,00","R$ 35,00"
"Arquitetos da memória, Os: sociogênese das práticas de preservação dopatrimônio cultural no Brasil (anos 1930-1940) ED. 2",Márcia Regina Romeiro Chuva,"80,00","R$ 40,00"
"Arquitetura religiosa colonial no Rio de Janeiro: as três fases, vol. 3",Sandra Poleshuck Faria Alvim,"200,00","R$ 100,00"
"Aspectos americanos de educação: anotações de viagem aos Estados Unidosem 1927",Anísio Teixeira,"28,00","R$ 14,00"
"Assassinos do sol, Os, vol.1: uma história dos paradigmas filosóficos",Marcio Tavares d'Amaral,"40,00","R$ 20,00"
"Assassinos do sol, Os, vol.2: uma história dos paradigmas filosóficos",Marcio Tavares d'Amaral,"50,00","R$ 25,00"
"Assassinos do sol, Os, vol.3: uma história dos paradigmas filosóficos",Marcio Tavares d'Amaral,"70,00","R$ 35,00"
"Assassinos do sol, Os, vol.4: uma história dos paradigmas filosóficos",Marcio Tavares d'Amaral,"72,00","R$ 36,00"
"Assassinos do sol, Os, vol.5: uma história dos paradigmas filosóficos",Marcio Tavares d'Amaral,"50,00","R$ 25,00"
"Bioética, riscos e proteção","Marisa Palácios | Marlene Braz | Fermin RolandSchramm | Sergio Rego","35,00","R$ 17,50"
"Bitcoin e criptomoedas: a utopia da neutralidade e a realidade política dodinheiro",Daniel Kosinski,"60,00","R$ 30,00"
Bolsa Família: questões de gênero e moralidades,Mani Tebet A. Marins,"55,00","R$ 27,50"
BRASIL - CHINA: construindo o BRICS,Alexander Zhebit,"40,00","R$ 20,00"
Brasil em compasso de espera: pequenos escritos políticos,Florestan Fernandes,"48,00","R$ 24,00"
Cabeça de obsidiana: Malraux diante de Picasso,André Malraux,"50,00","R$ 25,00"
Cálculo diferencial e integral de funções de várias variáveis  ED. 4,Diomara Pinto | Maria Cândida Ferreira Morgado,"50,00","R$ 25,00"
"Casa-grande, senzala & cia.: roteiro e diário",Ana Maria Galano,"36,00","R$ 18,00"
"Cenas da vida pós-moderna: intelectuais, arte, videocultura na Argentina",Beatriz Sarlo,"40,00","R$ 20,00"
Ciência e liberdade: escritos sobre ciência e educação no Brasil,José Leite Lopes,"25,00","R$ 12,50"
Ciladas no caminho do conhecimento sociológico,Renan Springer de Freitas,"50,00","R$ 25,00"
"Circulação do sangue, A: entre o Oriente e Ocidente, a história de umadescoberta",François Boustani,"60,00","R$ 30,00"
Círculos operários: a igreja católica e o mundo do trabalho no Brasil,Jessie Jane Vieira de Sousa,"30,00","R$ 15,00"
"Comunicação e diferença: uma filosofia de guerra para uso dos homenscomuns",Marcio Tavares d'Amaral,"38,00","R$ 19,00"
Conflitos ambientais no Rio de Janeiro: ação e debate nas arenas públicas,Mario Fuks,"20,00","R$ 10,00"
Conservação: conceitos e práticas,"Marylka Mendes | Luciana da Silveira | FátimaBevilaqua Contursi | Antonio Carlos NunesBaptista","50,00","R$ 25,00"
"Construção e a destruição do conhecimento, A",Ronaldo Lima Lins,"30,00","R$ 15,00"
Consumidores e cidadãos: Conflitos multiculturais da globalização,Néstor Garcia Canclini,"40,00","R$ 20,00"
Conto de inverno,Aila de Oliveira Gomes,"36,00","R$ 18,00"
"Corpo da nação, O",Valeria Ribeiro Corossacz,"38,00","R$ 19,00"
Corpo e subjetividade na medicina: impasses e paradoxos,Liana Albernaz de Melo Bastos,"30,00","R$ 15,00"
"Crise da consciência europeia 1680-1715, A",Paul Hazard,"80,00","R$ 40,00"
Crítica da moral cansada,Ronaldo Lima Lins,"22,80","R$ 11,40"
"Desencantamento do mundo, O: seis estudos sobre Max Weber",Wolfgang Schluchter,"28,80","R$ 14,40"
"Desvendando evidências simbólicas: compreensão e conteúdoemancipatório da antropologia","Oliveira, Luís R. Cardoso de","50,00","R$ 25,00"
"Desvios da avaliação da pesquisa, Os: o bom uso da bibliometria","Gingras, Yves","30,00","R$ 15,00"
Determinantes do uso da força policial no Rio de Janeiro,Ignácio Cano | Beatriz Magaloni,"30,00","R$ 15,00"
Diálogo sobre a lógica do conhecimento,Anísio Teixeira | Maurício Rocha e Silva,"20,00","R$ 10,00"
"Diálogos feministas: gerações, identidades, trabalho e direitos","Anna Bárbara Araujo | Aparecida. F. Moraes |Maria Clara Gama","50,00","R$ 25,00"
Diálogos tropicais: Brasil e Índia,Michel Misse | Dilip Loundo,"40,00","R$ 20,00"
Dicionário crítico Nelson Werneck Sodré,Marcos Silva,"50,00","R$ 25,00"
